report_date,new_positive,issue_date
2020-08-20,5585,2022-03-18
2020-08-19,5920,2022-03-18
2020-08-18,6164,2022-03-18
2020-08-17,4636,2022-03-18
2020-08-16,6469,2022-03-18
2020-08-15,7873,2022-03-18
2020-08-14,12614,2022-03-18
2020-08-13,7934,2022-03-18
2020-08-12,7085,2022-03-18
2020-08-11,11645,2022-03-18
2020-08-10,12500,2022-03-18
2020-08-09,7751,2022-03-18
2020-08-08,8373,2022-03-18
2020-08-07,7371,2022-03-18
2020-08-06,8436,2022-03-18
2020-08-05,5258,2022-03-18
2020-08-04,5295,2022-03-18
2020-08-03,4526,2022-03-18
2020-08-02,5739,2022-03-18
2020-08-01,9032,2022-03-18
2020-07-31,6542,2022-03-18
2020-07-30,8086,2022-03-18
2020-07-29,10197,2022-03-18
2020-07-28,8755,2022-03-18
2020-07-27,6000,2022-03-18
2020-07-26,6891,2022-03-18
2020-07-25,8259,2022-03-18
2020-07-24,10572,2022-03-18
2020-07-23,9212,2022-03-18
2020-07-22,12040,2022-03-18
2020-07-21,12807,2022-03-18
2020-07-20,9231,2022-03-18
2020-07-19,6846,2022-03-18
2020-07-18,9329,2022-03-18
2020-07-17,9199,2022-03-18
2020-07-16,9986,2022-03-18
2020-07-15,8544,2022-03-18
2020-07-14,11187,2022-03-18
2020-07-13,7285,2022-03-18
2020-07-12,8358,2022-03-18
2020-07-11,8460,2022-03-18
2020-07-10,8047,2022-03-18
2020-07-09,7798,2022-03-18
2020-07-08,7031,2022-03-18
2020-07-07,11694,2022-03-18
2020-07-06,6090,2022-03-18
2020-07-05,11529,2022-03-18
2020-07-04,5410,2022-03-18
2020-07-03,6510,2022-03-18
2020-07-02,8040,2022-03-18
2020-07-01,7538,2022-03-18
2020-06-30,9740,2022-03-18
2020-06-29,6367,2022-03-18
2020-06-28,6138,2022-03-18
2020-06-27,3979,2022-03-18
2020-06-26,5972,2022-03-18
2020-06-25,4890,2022-03-18
2020-06-24,5349,2022-03-18
2020-06-23,7149,2022-03-18
